,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:51:59.834940032,-6.287985604999999,-2.234668367769231,-7.291187896769231,0.0380895273953077,-0.9036453040307694,0.1001858331592307,-0.0183900018724615,0.0155921151440769,-0.0206723299160769,52.62614028,4.735071883,2.659999847,7.289999962,238.0078125,14.0,3.0,-19.438581612307697,-11.94744953846154,35.39680363692308,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:00.084940032,-6.189893434923078,-2.3450004694615383,-7.288171093384615,0.0884944903808333,-1.0137148694,0.0806210195916666,-0.0192758885663333,-0.0093293105796333,-0.0223408246708333,,,,,,,,-19.693871179166667,-12.023045936666664,35.25695292166666,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:00.334940032,-6.274851379249999,-2.535415077083333,-7.30938755025,0.0626688381423077,-1.173738562546154,0.1002082324961538,-0.0279767624675384,-0.0067128951009999,-0.0349299172653846,,,,,,,,-19.642655593076924,-13.041137034615383,34.64453770692308,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:00.584940032,-6.264772338923076,-2.6850471848461543,-7.279063110307693,0.0024026209174999,-1.3347342204166666,0.0936953450724999,-0.0316596230641666,0.0081273881561666,-0.0453710498591666,,,,,,,,-20.3816452025,-12.911725442499998,35.80743980333333,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:00.834940032,-6.038592681833333,-2.7688920593333335,-7.332514457583333,0.2422178048859231,-1.391643330076923,0.1209903613830769,-0.0377685396500769,-0.001178003543,-0.0386879623230769,52.62614409,4.735065345,3.871486664,6.150000095,229.21875,14.0,3.0,-20.71120804923077,-12.560722498461535,36.43706923230769,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:01.084940032,-6.1601744666923075,-2.933680149923078,-7.338017437384616,0.1226439839575,-1.5707133357499998,0.060295074725,-0.04861247741225,-0.0206029186368333,-0.0548990958683333,,,,,,,,-20.380530675,-13.110042650833334,35.34144528666666,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:01.334940032,-6.227499847416667,-3.1578207779166667,-7.215233345083333,0.0829298451792307,,0.1779113865376923,-0.0498889171730769,-0.0219635697834615,-0.0760534405699999,,,,,,,,-19.71347808923077,-13.178302323846152,34.73869147538462,,False,False,False,False,True,False,False,False,False,False,False,False
2025-06-04 11:52:01.584940032,-6.18777476376923,-3.1189141845384616,-7.082061239461539,0.1401635576766666,,0.2795289704166666,-0.0586586073033333,-0.0388639213824999,-0.0638061196858333,,,,,,,,-16.328371048333334,-13.698390960833333,34.53061993916667,,False,False,False,False,True,False,False,False,False,False,False,False
2025-06-04 11:52:01.834940032,-6.434057807833334,-3.1901285935833332,-7.25858070375,-0.0551019113823076,,0.095956811951023,-0.0624759137053846,-0.0295038732626153,-0.0694560018876923,52.6261078,4.735005917,4.462490082,5.03000021,231.328125,14.0,3.0,-15.402917716153848,-13.632470057692306,33.804493830000006,,False,False,False,False,True,False,False,False,False,False,False,False
2025-06-04 11:52:02.084940032,-6.252923901000001,-2.5854811566923077,-7.105608426615385,0.1133835049016666,-1.1884563145,0.2323361903383333,-0.0544796610866666,-0.0017932698826666,-0.0523459647466666,,,,,,,,-14.584499994166668,-13.6165200075,31.89629618250001,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:02.334940032,-6.2580488204166675,-1.8359571075000003,-7.426281967166666,0.1054503962580769,-0.4802285493538462,-0.0734345067003846,-0.0751386095692307,-0.0073264332907692,-0.0503570907384615,,,,,,,,-12.874143747692308,-14.803314503076924,31.79398521923077,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:52:02.584940032,-6.332869192153846,-1.7667874850000005,-7.383545837384615,0.0210915890299999,-0.4264368528166667,-0.03362334161875,-0.0812146527058333,-0.0052231482309,-0.07048543077,,,,,,,,-11.6068916325,-14.554994583333334,31.350934981666665,,False,False,False,False,False,False,False,False,False,False,False,False
